Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo,Fecha_Hora
Los Olivos,Pueblo Libre,Punto de Entrega,Centro de Distribución,-12.12439521927062,-77.11760014932365,-12.14389826194436,-76.82704444955132,108:18,62.2,92.77,2024-09-23 21:12:51
San Miguel,Los Olivos,Centro de Distribución,Punto de Entrega,-12.1155740175479,-77.16815037136321,-11.908302413205115,-77.14383696877788,46:46,25.34,52.35,2024-10-04 21:12:51
Magdalena,San Isidro,Centro de Distribución,Punto de Entrega,-12.141589176791541,-76.90393250370666,-11.933044545938479,-76.87088723630112,38:37,27.84,29.34,2024-10-19 21:12:51
La Molina,Barranco,Centro de Distribución,Punto de Entrega,-12.151848944374569,-76.83201106638549,-12.118020289584102,-76.92419149836626,75:44,13.16,46.14,2024-10-04 21:12:51
San Isidro,Chorrillos,Punto de Entrega,Punto de Entrega,-12.11829772526776,-76.97916647937924,-11.832399162668395,-76.9282642162941,12:58,9.59,21.28,2024-09-26 21:12:51
San Isidro,Rímac,Punto de Entrega,Punto de Entrega,-11.873702270861877,-77.18318932952232,-12.185281365313156,-76.88372296452229,88:43,45.61,90.14,2024-10-16 21:12:51
Rímac,Comas,Centro de Distribución,Punto de Entrega,-12.155519170263538,-77.07081836680037,-12.054904269734338,-76.99640163507192,56:22,21.46,44.7,2024-09-24 21:12:51
Jesús María,Comas,Centro de Distribución,Punto de Entrega,-12.178700162512705,-77.04925052681764,-12.040081874364024,-76.90915883725329,111:35,34.51,54.78,2024-10-04 21:12:51
Barranco,Breña,Centro de Distribución,Punto de Entrega,-12.053653118651718,-76.81352946892378,-12.101449682138856,-76.87800995950452,23:18,12.28,23.0,2024-10-10 21:12:51
Surco,San Isidro,Punto de Entrega,Centro de Distribución,-11.814255917106694,-76.93516303281476,-12.098506546298566,-76.9885253964495,8:15,6.69,13.5,2024-10-03 21:12:51
Los Olivos,Chorrillos,Punto de Entrega,Punto de Entrega,-11.963449355699648,-77.11951340641257,-11.874442205210151,-77.10744563744777,86:42,37.06,61.39,2024-10-07 21:12:51
Breña,Comas,Centro de Distribución,Punto de Entrega,-12.180751051592532,-77.15402539692114,-12.00202465517543,-77.0824857024859,48:00,21.13,53.11,2024-10-16 21:12:51
San Isidro,Comas,Centro de Distribución,Punto de Entrega,-11.809762600921342,-77.16713427692324,-11.867833966423945,-76.86668445588188,66:34,17.89,35.26,2024-10-12 21:12:51
Barranco,La Victoria,Punto de Entrega,Centro de Distribución,-12.067619243916655,-76.96095583934594,-11.80379859709652,-77.08916978832308,18:02,13.4,26.93,2024-10-07 21:12:51
La Victoria,Surco,Centro de Distribución,Punto de Entrega,-11.861477374756593,-76.93823987318827,-11.850128330896272,-77.05950018445648,8:09,1.79,11.54,2024-10-02 21:12:51
La Victoria,Magdalena,Punto de Entrega,Punto de Entrega,-11.863667335546955,-76.84959377319619,-11.99295598104891,-76.91302136640734,43:02,22.63,48.08,2024-10-17 21:12:51
Lince,San Borja,Punto de Entrega,Punto de Entrega,-12.029004885639063,-76.9743581287442,-12.101983320984207,-77.09538210115494,97:42,60.59,72.84,2024-09-23 21:12:51
San Borja,Pueblo Libre,Punto de Entrega,Centro de Distribución,-11.932682882643402,-76.87269361058586,-11.829267507623118,-76.874409752368,35:04,21.21,24.13,2024-10-17 21:12:51
Jesús María,Lima Centro,Punto de Entrega,Centro de Distribución,-12.01370491045294,-77.14162997278882,-12.155347133617324,-77.02996560942235,101:44,68.2,55.4,2024-10-09 21:12:51
Ate,Chorrillos,Centro de Distribución,Punto de Entrega,-12.13529520053728,-77.01859675844723,-11.975450067020537,-76.83223867549002,113:51,59.21,98.05,2024-09-27 21:12:51
San Borja,Miraflores,Punto de Entrega,Punto de Entrega,-12.018065395672332,-76.87500459798484,-12.011565315449996,-76.91078387897664,105:35,66.81,144.34,2024-10-01 21:12:51
San Juan de Lurigancho,Barranco,Punto de Entrega,Centro de Distribución,-11.81961923531787,-77.03710482460825,-11.81509987473667,-76.9653022451694,12:58,10.09,25.32,2024-10-18 21:12:51
Magdalena,La Molina,Punto de Entrega,Punto de Entrega,-12.041449596212484,-77.03867758649717,-11.983920394665127,-77.13046652045666,64:44,28.06,50.06,2024-10-19 21:12:51
Surco,San Miguel,Centro de Distribución,Punto de Entrega,-11.98933375166921,-76.8682430123247,-11.957267776271028,-77.03444427236043,117:32,59.72,62.89,2024-10-04 21:12:51
San Isidro,Jesús María,Punto de Entrega,Punto de Entrega,-11.834669847652066,-77.1879899400315,-12.059372483447744,-77.00245147503051,13:56,10.03,30.37,2024-10-07 21:12:51
La Molina,Lima Centro,Centro de Distribución,Punto de Entrega,-12.183752947234836,-76.88618478257335,-12.069907936063581,-76.80305469030736,101:26,71.58,125.03,2024-10-11 21:12:51
Comas,San Borja,Centro de Distribución,Punto de Entrega,-12.002973706163063,-76.81763337417065,-11.891178269978324,-77.07843700201238,20:19,5.37,16.05,2024-09-24 21:12:51
Breña,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.191543701631737,-77.12184417269972,-11.806850806782732,-76.94613174334366,94:19,38.72,50.03,2024-09-27 21:12:51
San Miguel,Magdalena,Punto de Entrega,Punto de Entrega,-12.096917014115434,-76.91083851139658,-11.85313620115106,-76.80730899420094,11:52,9.33,23.37,2024-10-07 21:12:51
Jesús María,Chorrillos,Centro de Distribución,Punto de Entrega,-12.198609739583656,-76.96684425988663,-12.111238197434941,-77.00945895671867,104:57,37.25,89.73,2024-09-21 21:12:51
Rímac,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-11.991871307587102,-76.91501057651372,-12.119030507641227,-76.87236091386477,53:44,23.09,55.55,2024-10-12 21:12:51
San Miguel,Miraflores,Punto de Entrega,Punto de Entrega,-11.85969928615733,-77.1282499814478,-12.012142060695906,-76.90268223458686,54:24,44.08,97.57,2024-10-02 21:12:51
Breña,Los Olivos,Punto de Entrega,Centro de Distribución,-11.827710624406198,-76.90711096085268,-12.072479315132549,-77.13940217435056,73:53,21.1,28.28,2024-09-19 21:12:51
Chorrillos,San Miguel,Centro de Distribución,Punto de Entrega,-11.916807618700663,-77.05055281801666,-12.057734567756224,-77.02662777017228,40:24,27.65,49.06,2024-10-04 21:12:51
La Victoria,La Molina,Centro de Distribución,Punto de Entrega,-11.892311759396632,-76.9635304144845,-11.891729552859145,-76.97812669554493,24:33,12.1,40.19,2024-10-07 21:12:51
Barranco,La Victoria,Punto de Entrega,Centro de Distribución,-12.044072371244157,-77.08982576053823,-11.900627005971545,-76.92385492260166,105:04,46.86,108.81,2024-09-25 21:12:51
Comas,Lince,Centro de Distribución,Punto de Entrega,-12.199251669584863,-76.99945562614538,-12.001722752166689,-77.14757020621421,40:16,14.8,21.85,2024-10-06 21:12:51
Barranco,San Isidro,Punto de Entrega,Punto de Entrega,-11.865153111700602,-76.8653495723345,-12.13293684550085,-77.18169117687013,27:51,9.61,21.92,2024-10-13 21:12:51
La Victoria,Los Olivos,Punto de Entrega,Punto de Entrega,-11.908636699012673,-76.8496644771915,-12.002226141432171,-77.09420085718962,44:45,14.37,35.59,2024-09-26 21:12:51
Jesús María,Ate,Centro de Distribución,Punto de Entrega,-12.130974922108555,-76.93405420383642,-12.174126058343406,-77.061147374512,31:32,17.66,44.78,2024-10-17 21:12:51
Rímac,Los Olivos,Punto de Entrega,Punto de Entrega,-11.884289749189003,-76.99859606816824,-12.109100440284784,-76.90035515506287,29:03,6.95,21.38,2024-10-18 21:12:51
Lima Centro,Los Olivos,Centro de Distribución,Punto de Entrega,-12.159204131232018,-76.81164218389536,-12.080521693255099,-76.80604869108554,32:00,17.47,47.2,2024-10-03 21:12:51
San Juan de Lurigancho,Ate,Punto de Entrega,Punto de Entrega,-12.109061188680428,-76.81738927424257,-11.949534000117136,-76.92181342490768,56:39,13.19,40.48,2024-10-02 21:12:51
Los Olivos,La Victoria,Centro de Distribución,Punto de Entrega,-12.005845471792496,-77.12205300171587,-12.08761630587342,-76.99928539883672,17:17,13.45,31.82,2024-10-03 21:12:51
Magdalena,San Miguel,Punto de Entrega,Centro de Distribución,-11.822523649326362,-77.16361578353715,-11.906083428246212,-76.81372097436793,103:35,38.85,42.87,2024-10-01 21:12:51
La Victoria,Pueblo Libre,Punto de Entrega,Centro de Distribución,-11.910166744460732,-76.90860522548286,-12.052118156859983,-76.9714606066376,82:00,27.97,84.73,2024-10-04 21:12:51
Breña,Rímac,Punto de Entrega,Centro de Distribución,-12.15792015496631,-76.96050498511275,-11.900833561795787,-77.09824135744316,38:34,14.97,23.1,2024-10-04 21:12:51
Pueblo Libre,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.039619747787889,-77.0558897545165,-12.052950382561322,-77.07831078311565,109:56,75.69,67.55,2024-10-18 21:12:51
Surco,Comas,Punto de Entrega,Punto de Entrega,-12.031858262302208,-77.14829831427478,-12.062229765810411,-76.89353356416943,20:22,7.79,23.25,2024-10-18 21:12:51
San Juan de Lurigancho,Barranco,Punto de Entrega,Centro de Distribución,-12.013980624405788,-76.81698410423083,-11.839341782431399,-77.12695381053996,37:02,17.8,51.39,2024-09-25 21:12:51
Pueblo Libre,San Miguel,Punto de Entrega,Punto de Entrega,-12.043283910053898,-76.92689807682088,-11.802221327829788,-77.16890328169796,36:28,21.29,52.72,2024-09-21 21:12:51
San Borja,La Victoria,Punto de Entrega,Punto de Entrega,-12.055643826404731,-76.99232619322888,-11.856321469088018,-77.01247073965887,112:03,38.59,77.74,2024-10-13 21:12:51
Rímac,Magdalena,Centro de Distribución,Punto de Entrega,-11.816341352738466,-76.90098901072906,-11.85225846589292,-77.02715610518239,54:32,25.99,69.25,2024-09-23 21:12:51
San Juan de Lurigancho,San Borja,Centro de Distribución,Punto de Entrega,-11.875983912260583,-76.80186254008797,-11.96445645749521,-77.11387229286669,90:34,47.93,61.52,2024-09-24 21:12:51
Lima Centro,Chorrillos,Punto de Entrega,Centro de Distribución,-12.187681769945632,-77.10529045999529,-12.158812139564207,-76.90573516381689,71:27,28.57,37.03,2024-09-23 21:12:51
Pueblo Libre,La Victoria,Punto de Entrega,Punto de Entrega,-11.811387770444192,-77.11960152275292,-12.130825214296243,-76.87079267865695,77:16,15.87,53.01,2024-09-21 21:12:51
Magdalena,Comas,Centro de Distribución,Punto de Entrega,-11.924708424006218,-76.85267964702436,-12.041344613692523,-77.04858223382509,108:23,70.49,94.8,2024-10-04 21:12:51
San Juan de Lurigancho,Lince,Centro de Distribución,Punto de Entrega,-12.135554636365965,-76.98082868563873,-11.857669169326323,-76.8455845971123,75:18,21.32,61.57,2024-10-18 21:12:51
San Borja,La Molina,Centro de Distribución,Punto de Entrega,-12.148333906086608,-76.8528213204608,-11.828174040054659,-76.9751358870611,27:18,18.82,35.11,2024-09-30 21:12:51
Chorrillos,Magdalena,Centro de Distribución,Punto de Entrega,-12.185808231025682,-76.94174733045391,-12.08595226132028,-76.97521809446349,28:17,6.88,12.43,2024-09-20 21:12:51
San Miguel,Chorrillos,Centro de Distribución,Punto de Entrega,-12.014097739510559,-77.13306352772311,-11.913142657351148,-77.01954526238062,117:00,37.44,98.95,2024-09-24 21:12:51
Los Olivos,La Victoria,Centro de Distribución,Punto de Entrega,-11.857035811899257,-77.05566710614127,-11.972043481111085,-77.03511928698734,81:41,26.28,56.64,2024-10-16 21:12:51
Lince,Chorrillos,Centro de Distribución,Punto de Entrega,-12.146376141195917,-77.19266642386614,-12.097697227340788,-77.00250863960876,88:04,73.24,123.44,2024-10-13 21:12:51
Los Olivos,San Isidro,Centro de Distribución,Punto de Entrega,-12.184771872968552,-76.84066211971277,-12.063644279037117,-77.18635615418832,51:22,36.38,85.92,2024-10-02 21:12:51
Breña,Miraflores,Punto de Entrega,Centro de Distribución,-12.102995932989053,-77.06386466715871,-12.096274999492755,-76.85716447555285,34:42,25.95,48.99,2024-10-17 21:12:51
Barranco,La Victoria,Punto de Entrega,Centro de Distribución,-12.076284022385298,-76.82834950035607,-11.919309869184522,-76.95487230920044,102:19,70.95,75.64,2024-09-30 21:12:51
Los Olivos,San Borja,Punto de Entrega,Centro de Distribución,-12.006033994208929,-76.95771222500201,-12.077822427653878,-76.84497165666798,43:30,26.9,49.79,2024-09-29 21:12:51
Jesús María,Breña,Punto de Entrega,Centro de Distribución,-12.104178632199297,-76.92707033665484,-12.076064076608182,-76.926305601521,19:55,7.87,13.25,2024-09-23 21:12:51
Barranco,Lince,Punto de Entrega,Centro de Distribución,-12.067620748163922,-77.03005878483759,-11.878972924521277,-76.96712697366843,8:52,4.61,18.3,2024-10-18 21:12:51
Breña,Los Olivos,Punto de Entrega,Centro de Distribución,-11.968134880549657,-77.09948161957416,-11.992459103332449,-77.17945063620594,18:48,5.65,21.5,2024-09-23 21:12:51
Miraflores,Comas,Centro de Distribución,Punto de Entrega,-11.960773375962246,-76.8763022173992,-11.855190406316906,-76.92513584444825,95:16,76.17,166.4,2024-09-23 21:12:51
Comas,Magdalena,Punto de Entrega,Punto de Entrega,-12.01504357368584,-77.01214362271402,-11.925418965435943,-77.08376675294177,65:42,19.41,67.45,2024-10-13 21:12:51
Lince,Magdalena,Punto de Entrega,Punto de Entrega,-11.935838784775171,-76.86421274718282,-12.132434378115503,-77.08965641323925,58:52,39.09,80.69,2024-10-18 21:12:51
La Victoria,Comas,Centro de Distribución,Punto de Entrega,-12.161903993219084,-77.05495794961094,-11.805911092963974,-77.18167886025648,70:18,23.2,54.63,2024-10-17 21:12:51
La Molina,Magdalena,Punto de Entrega,Punto de Entrega,-11.81956003972127,-77.1889046839133,-12.168686188676563,-76.81323538611376,38:15,25.66,58.45,2024-10-10 21:12:51
Barranco,La Molina,Centro de Distribución,Punto de Entrega,-12.046218422488073,-76.96174793896698,-11.892529673764635,-76.83539783582205,87:11,64.26,89.72,2024-10-12 21:12:51
San Borja,Ate,Punto de Entrega,Centro de Distribución,-12.089524453680728,-76.80940544717792,-11.910070631344912,-76.81516413570954,103:14,18.45,73.67,2024-10-17 21:12:51
Rímac,San Borja,Centro de Distribución,Punto de Entrega,-12.073603547539811,-77.03015451359533,-12.173469533165273,-77.08552533006595,51:09,24.06,68.57,2024-10-17 21:12:51
San Juan de Lurigancho,Rímac,Centro de Distribución,Punto de Entrega,-12.073836271285069,-77.1868704437473,-11.96769683923285,-76.85487047319576,83:49,66.22,71.28,2024-10-16 21:12:51
Magdalena,San Miguel,Centro de Distribución,Punto de Entrega,-12.190883670785384,-76.81528339302604,-12.16644238212089,-77.18138090109674,61:45,35.07,56.34,2024-10-11 21:12:51
La Victoria,Jesús María,Centro de Distribución,Punto de Entrega,-12.142172757616974,-76.8322173135568,-12.148769562468816,-76.88394658758806,34:29,20.25,37.45,2024-10-13 21:12:51
La Molina,Los Olivos,Centro de Distribución,Punto de Entrega,-11.936656198498483,-76.99401207353361,-11.946607538268188,-77.10588934441161,69:35,52.38,54.82,2024-10-18 21:12:51
Ate,Jesús María,Centro de Distribución,Punto de Entrega,-11.974835318344114,-77.09399135536194,-11.905195411831755,-77.1964290770818,85:54,49.51,61.54,2024-10-14 21:12:51
Lima Centro,Surco,Punto de Entrega,Centro de Distribución,-12.190256446434264,-76.97528611794424,-11.871815839235454,-77.11927752917137,63:28,32.29,42.78,2024-10-15 21:12:51
San Borja,Barranco,Centro de Distribución,Punto de Entrega,-11.937705851038773,-77.1577089586884,-11.921489444323083,-76.9000320067027,101:50,55.43,74.47,2024-09-23 21:12:51
Comas,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.099013077959109,-77.00156562909066,-12.011248182147206,-76.86118199205139,18:33,7.78,22.88,2024-10-05 21:12:51
San Isidro,Rímac,Punto de Entrega,Punto de Entrega,-12.16045545296163,-77.18202828116334,-12.155337490118095,-77.02673739131936,40:28,27.25,58.23,2024-09-23 21:12:51
San Borja,Surco,Centro de Distribución,Punto de Entrega,-11.98856864274249,-77.00350893884008,-12.086081486960135,-76.8090884705731,61:52,39.84,43.96,2024-10-04 21:12:51
La Victoria,Comas,Punto de Entrega,Punto de Entrega,-11.956856553404823,-77.01057209750373,-11.951209869313502,-76.87114532030748,100:02,21.05,80.41,2024-10-14 21:12:51
Barranco,Lima Centro,Punto de Entrega,Centro de Distribución,-12.057541482320806,-77.1256789337904,-11.94294972586295,-76.91486432280412,50:28,28.18,44.57,2024-10-16 21:12:51
Barranco,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-11.98448519180806,-77.0787555031301,-11.87956241185224,-77.1143017834613,102:28,82.24,142.81,2024-10-10 21:12:51
Barranco,Jesús María,Punto de Entrega,Centro de Distribución,-11.876429470653097,-76.84801579464846,-11.917181858022225,-77.06999800681221,103:25,84.97,138.36,2024-09-29 21:12:51
Magdalena,Ate,Centro de Distribución,Punto de Entrega,-11.976232237726588,-77.14539956958069,-12.100817307282474,-76.92784446182519,15:15,6.36,12.76,2024-10-03 21:12:51
La Victoria,Jesús María,Centro de Distribución,Punto de Entrega,-11.907555373424934,-76.80851124713247,-11.837072819310293,-77.01944924889695,113:02,50.95,110.06,2024-09-25 21:12:51
Magdalena,Ate,Centro de Distribución,Punto de Entrega,-11.827904980188668,-76.85512978767383,-12.067278004382901,-77.02797599927489,46:08,23.17,61.51,2024-09-19 21:12:51
Surco,Pueblo Libre,Centro de Distribución,Punto de Entrega,-11.918517278485433,-77.11085560598609,-11.908130024173229,-76.9476608627659,78:55,13.78,29.95,2024-09-26 21:12:51
Barranco,La Victoria,Centro de Distribución,Punto de Entrega,-11.916302468117038,-77.07236326047311,-12.06682850159276,-77.00755684694838,50:42,36.85,30.73,2024-09-21 21:12:51
San Juan de Lurigancho,Rímac,Punto de Entrega,Centro de Distribución,-12.101166842734502,-76.83307269179095,-12.042872054565455,-76.84923876986282,44:05,20.39,50.7,2024-10-18 21:12:51
Pueblo Libre,Rímac,Centro de Distribución,Punto de Entrega,-11.868241665858415,-76.83644925152898,-12.007507983097605,-76.85945995344986,71:17,35.21,84.73,2024-10-04 21:12:51
Comas,Chorrillos,Centro de Distribución,Punto de Entrega,-12.16874086562674,-77.0594154624558,-12.02383174200813,-77.08970243475807,54:23,13.63,32.28,2024-10-12 21:12:51
Comas,Ate,Punto de Entrega,Centro de Distribución,-12.083012043597662,-77.04508614992102,-11.885087244246046,-77.05925173946706,53:35,44.04,107.12,2024-10-19 21:12:51
Magdalena,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-11.860895369755314,-76.94756574019829,-11.834698634210417,-76.92529554352326,86:44,27.36,52.53,2024-09-28 21:12:51
San Borja,Miraflores,Punto de Entrega,Punto de Entrega,-11.836424311576854,-77.05613587446753,-12.096198381914304,-76.87294600674362,84:17,43.53,83.67,2024-10-03 21:12:51
Barranco,San Miguel,Punto de Entrega,Punto de Entrega,-12.001431364421233,-77.05150829584232,-11.855557896682466,-76.91468223724627,38:20,29.1,56.13,2024-10-13 21:12:51
Miraflores,Rímac,Punto de Entrega,Punto de Entrega,-11.844262259364049,-76.81978222285682,-12.051500524280138,-76.81215214670266,92:45,55.69,59.76,2024-09-29 21:12:51
La Molina,Surco,Punto de Entrega,Punto de Entrega,-11.912278131162866,-76.87590153989932,-12.164208830253083,-76.93357550311622,36:22,17.32,35.16,2024-10-16 21:12:51
Surco,Lince,Punto de Entrega,Centro de Distribución,-11.858965406072208,-77.04886669469694,-11.825570976625928,-77.14473166489184,74:28,54.68,122.27,2024-10-19 21:12:51
Pueblo Libre,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.029607606205357,-76.826119032535,-12.150070055277618,-76.92827913331242,37:14,12.0,38.58,2024-10-01 21:12:51
Jesús María,Lima Centro,Centro de Distribución,Punto de Entrega,-11.80620622276801,-76.83900591425096,-11.966186550972207,-77.06252295577012,89:36,30.75,85.47,2024-10-08 21:12:51
Ate,Breña,Centro de Distribución,Punto de Entrega,-12.147024522632814,-76.85229453721352,-12.11391138092234,-77.06809695932992,72:42,12.56,21.37,2024-09-28 21:12:51
Surco,Lince,Centro de Distribución,Punto de Entrega,-11.951150191940867,-77.13139361821511,-11.821224553443251,-76.90656276108578,73:44,42.36,73.1,2024-10-13 21:12:51
Comas,Rímac,Punto de Entrega,Centro de Distribución,-12.181398045671875,-76.8739676919199,-12.124660691317118,-77.1988912273276,12:18,9.75,20.96,2024-10-09 21:12:51
San Miguel,Jesús María,Centro de Distribución,Punto de Entrega,-12.12786790107613,-76.8427425589543,-12.172681915256703,-76.88787297070347,14:16,5.59,11.11,2024-10-05 21:12:51
La Molina,San Isidro,Centro de Distribución,Punto de Entrega,-12.110868209901234,-77.05006131910832,-12.089272991062305,-77.02806029813745,109:43,88.19,190.74,2024-10-08 21:12:51
Ate,Los Olivos,Centro de Distribución,Punto de Entrega,-12.18466927683345,-76.97932245533862,-11.95108707908553,-76.81085623306689,42:55,11.27,26.78,2024-09-23 21:12:51
Barranco,Rímac,Punto de Entrega,Centro de Distribución,-12.108336428838244,-77.10813851620853,-11.913503067487083,-76.82435662038421,12:50,3.37,12.18,2024-10-18 21:12:51
San Borja,Lima Centro,Punto de Entrega,Centro de Distribución,-12.17000948549352,-77.03743436129739,-12.188000370878601,-76.85806126403324,24:41,7.31,28.71,2024-10-13 21:12:51
Magdalena,Ate,Centro de Distribución,Punto de Entrega,-12.179166745081389,-77.0449870592263,-11.998302350649185,-76.97788573798154,62:52,27.78,62.14,2024-10-05 21:12:51
Chorrillos,Miraflores,Punto de Entrega,Punto de Entrega,-12.080069944440371,-77.03956532938685,-12.117621291861695,-77.00456951278998,69:21,27.98,41.23,2024-09-25 21:12:51
Surco,Miraflores,Punto de Entrega,Punto de Entrega,-12.02855427682078,-77.07652951574924,-11.90595814042387,-76.89651566516403,38:01,14.67,45.56,2024-10-08 21:12:51
Comas,Lince,Punto de Entrega,Punto de Entrega,-11.881142892085263,-77.07797926840055,-12.19831959210365,-77.03429371706986,35:46,9.3,40.29,2024-10-17 21:12:51
San Miguel,Lince,Centro de Distribución,Punto de Entrega,-12.00405365562886,-76.82488770019003,-12.112029354300246,-76.9895782926733,112:28,53.38,97.17,2024-09-28 21:12:51
San Juan de Lurigancho,Lince,Centro de Distribución,Punto de Entrega,-11.819855348711474,-76.89312068179117,-11.807560384698862,-77.16030290461246,60:34,27.28,37.98,2024-10-09 21:12:51
Breña,Rímac,Punto de Entrega,Punto de Entrega,-11.874953734636303,-76.91739083640576,-12.097534374784367,-77.0139820745073,33:00,10.57,39.06,2024-09-23 21:12:51
La Victoria,Ate,Punto de Entrega,Centro de Distribución,-11.82657717331883,-76.89997544960484,-11.969654586637006,-77.17824112318705,14:03,5.34,11.8,2024-10-13 21:12:51
Ate,Surco,Punto de Entrega,Punto de Entrega,-12.071028514851443,-76.81384139856146,-12.189611329136238,-77.0864973772602,44:14,18.73,53.97,2024-09-23 21:12:51
La Molina,Barranco,Centro de Distribución,Punto de Entrega,-11.942112600504498,-77.03265377733283,-11.929515495368602,-77.08441966237814,90:21,19.73,60.77,2024-09-25 21:12:51
Lince,Ate,Punto de Entrega,Punto de Entrega,-11.877716982551828,-77.18228151538959,-11.954205695303832,-76.84801634564275,83:53,38.47,70.8,2024-10-12 21:12:51
Barranco,Lince,Punto de Entrega,Centro de Distribución,-12.074547785610616,-76.96788744543073,-11.842559947131814,-77.13511044975485,29:37,13.82,29.9,2024-09-24 21:12:51
Magdalena,Ate,Punto de Entrega,Punto de Entrega,-12.133550749677081,-77.00930940564825,-11.839827631049797,-76.85800464398285,17:08,12.18,35.35,2024-09-23 21:12:51
San Miguel,Rímac,Punto de Entrega,Punto de Entrega,-11.89857947643986,-77.02356609246918,-11.930376707124113,-76.95643707009583,105:16,20.99,45.73,2024-10-01 21:12:51
San Borja,Miraflores,Punto de Entrega,Punto de Entrega,-12.052157255241923,-76.8459935073694,-11.875714402003402,-77.02069632661879,52:31,11.43,40.32,2024-10-06 21:12:51
Magdalena,Surco,Centro de Distribución,Punto de Entrega,-11.934512691461236,-77.1254433568294,-11.974341148792165,-77.1577476438753,101:41,60.54,156.28,2024-10-19 21:12:51
Jesús María,Miraflores,Punto de Entrega,Centro de Distribución,-11.994026101037525,-77.0974884999181,-11.806699166670825,-76.8207581364623,113:03,34.52,81.86,2024-09-28 21:12:51
Surco,San Borja,Centro de Distribución,Punto de Entrega,-12.155234710457897,-77.04357187239272,-12.023846168257167,-77.09768885619494,60:43,21.58,67.47,2024-09-21 21:12:51
Chorrillos,Pueblo Libre,Punto de Entrega,Punto de Entrega,-11.836253876216851,-76.98042623798857,-12.14513118971849,-76.86081878916967,23:00,5.76,17.54,2024-09-22 21:12:51
Rímac,San Borja,Centro de Distribución,Punto de Entrega,-11.918643270775656,-76.8356894713783,-11.827660685567157,-76.95903374975474,26:06,4.41,20.81,2024-10-09 21:12:51
Los Olivos,Magdalena,Centro de Distribución,Punto de Entrega,-12.057819054966863,-77.18828978573694,-11.81791419724253,-76.81412527547869,104:34,74.75,171.12,2024-10-06 21:12:51
Lima Centro,Lince,Centro de Distribución,Punto de Entrega,-11.927813657097502,-77.14810620926816,-12.053331705995781,-76.95055959269521,11:50,2.42,10.36,2024-10-03 21:12:51
Breña,Barranco,Centro de Distribución,Punto de Entrega,-12.126983974932582,-77.16939144248715,-12.147968728501475,-76.8380972979048,75:45,19.88,33.77,2024-10-06 21:12:51
Surco,San Miguel,Centro de Distribución,Punto de Entrega,-11.97727450829529,-77.11030986669202,-11.808558852888275,-77.11807870805575,89:10,15.11,39.06,2024-10-08 21:12:51
La Molina,San Borja,Centro de Distribución,Punto de Entrega,-11.853165880447712,-76.80672273419275,-12.01362141418726,-77.0603784843264,30:11,7.27,21.88,2024-10-13 21:12:51
Comas,Chorrillos,Centro de Distribución,Punto de Entrega,-11.985407727565374,-77.08236075134766,-12.196418155620874,-76.89657891500981,59:14,11.78,39.69,2024-09-20 21:12:51
San Juan de Lurigancho,Comas,Centro de Distribución,Punto de Entrega,-12.063101640942916,-77.01772569970902,-11.840859656523499,-76.88757194191108,50:25,25.83,64.88,2024-09-27 21:12:51
Jesús María,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-11.863362229172363,-76.8491902452245,-12.045216661576266,-77.17982286937335,49:17,32.69,64.93,2024-10-06 21:12:51
Los Olivos,San Borja,Centro de Distribución,Punto de Entrega,-12.15183713568991,-76.99569777576296,-11.888951340230923,-77.01403231338467,58:15,37.74,98.72,2024-10-04 21:12:51
Los Olivos,Breña,Centro de Distribución,Punto de Entrega,-11.96356598973174,-76.8724003201117,-12.004844088136986,-76.81033405326994,31:19,8.11,31.3,2024-09-25 21:12:51
Rímac,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-11.92481401796919,-76.92969156096997,-11.90275421327572,-76.80696892440564,108:43,40.09,100.6,2024-09-26 21:12:51
Lima Centro,La Molina,Punto de Entrega,Punto de Entrega,-12.083692956242304,-77.08438108134236,-11.989085313516357,-76.99024940208064,117:25,78.56,153.71,2024-10-10 21:12:51
La Molina,San Borja,Centro de Distribución,Punto de Entrega,-12.013496305916359,-77.03522457307768,-12.1951549632661,-77.08768062860219,28:30,5.81,16.34,2024-09-22 21:12:51
Ate,Barranco,Centro de Distribución,Punto de Entrega,-12.074620199913028,-76.85723679874688,-11.831821640058205,-76.89498122307565,89:47,54.83,94.09,2024-09-25 21:12:51
San Juan de Lurigancho,Pueblo Libre,Punto de Entrega,Centro de Distribución,-11.949433687753857,-76.82914668881942,-12.112426190642582,-77.18881362008186,101:53,77.84,137.71,2024-10-13 21:12:51
Barranco,Rímac,Punto de Entrega,Punto de Entrega,-11.925210865632117,-76.97239779797584,-11.845061935915902,-77.0915051662919,57:39,14.73,31.24,2024-10-07 21:12:51
